,Unnamed: 0,statefips,countyfips,avghouseholdsize,geography,avgdeathsperyear,popest2015
29,29,1,25,2.57,"Clarke County, Alabama",63,24675
30,30,1,27,2.45,"Clay County, Alabama",36,13555
31,31,1,29,2.57,"Cleburne County, Alabama",38,15018
32,32,1,31,2.62,"Coffee County, Alabama",102,51211
33,33,1,33,2.43,"Colbert County, Alabama",140,54354
34,34,1,37,2.42,"Coosa County, Alabama",33,10724
35,35,1,41,2.56,"Crenshaw County, Alabama",34,13963
36,36,1,43,2.55,"Cullman County, Alabama",189,82005
37,37,1,45,2.56,"Dale County, Alabama",106,49565
38,38,1,47,2.53,"Dallas County, Alabama",108,41131
39,39,1,49,2.81,"DeKalb County, Alabama",138,71130
40,40,1,51,2.65,"Elmore County, Alabama",158,81468
41,41,1,55,2.56,"Etowah County, Alabama",264,103057
42,42,1,57,2.36,"Fayette County, Alabama",47,16759
43,43,1,59,2.62,"Franklin County, Alabama",74,31696
44,44,1,61,2.47,"Geneva County, Alabama",74,26777
45,45,1,63,2.7,"Greene County, Alabama",19,8479
46,46,1,65,2.53,"Hale County, Alabama",39,15068
47,47,1,67,2.47,"Henry County, Alabama",47,17221
48,48,1,69,2.62,"Houston County, Alabama",227,104173
49,49,1,71,2.56,"Jackson County, Alabama",146,52419
50,50,1,73,2.47,"Jefferson County, Alabama",1382,660367
51,51,1,75,2.27,"Lamar County, Alabama",43,13886
52,52,1,77,2.35,"Lauderdale County, Alabama",238,92596
53,53,1,79,2.46,"Lawrence County, Alabama",78,33115
54,54,1,81,2.54,"Lee County, Alabama",219,156993
55,55,1,83,2.64,"Limestone County, Alabama",143,91663
56,56,1,85,2.49,"Lowndes County, Alabama",28,10458
57,57,1,87,2.24,"Macon County, Alabama",53,19105
58,58,1,89,2.46,"Madison County, Alabama",578,353089
59,59,1,91,2.42,"Marengo County, Alabama",52,20028
60,60,1,93,2.34,"Marion County, Alabama",81,30168
61,61,1,95,2.72,"Marshall County, Alabama",213,94725
62,62,1,97,2.62,"Mobile County, Alabama",925,415395
63,63,1,99,2.62,"Monroe County, Alabama",54,21673
64,64,1,101,2.47,"Montgomery County, Alabama",442,226519
65,65,1,103,2.55,"Morgan County, Alabama",258,119565
66,66,1,105,2.7,"Perry County, Alabama",30,9652
67,67,1,107,2.51,"Pickens County, Alabama",48,20864
68,68,1,109,2.44,"Pike County, Alabama",62,33046
69,69,1,111,2.49,"Randolph County, Alabama",56,22696
70,70,1,113,2.59,"Russell County, Alabama",121,59660
71,71,1,115,2.62,"St. Clair County, Alabama",168,87074
72,72,1,117,2.66,"Shelby County, Alabama",288,208713
73,73,1,119,2.61,"Sumter County, Alabama",35,13103
74,74,1,121,2.49,"Talladega County, Alabama",191,80862
75,75,1,123,2.48,"Tallapoosa County, Alabama",111,40844
76,76,1,125,2.75,"Tuscaloosa County, Alabama",327,203976
77,77,1,127,2.54,"Walker County, Alabama",199,65294
78,78,1,129,2.75,"Washington County, Alabama",44,16804
79,79,1,131,2.86,"Wilcox County, Alabama",32,11059
80,80,1,133,2.53,"Winston County, Alabama",67,23877
81,81,5,1,2.39,"Arkansas County, Arkansas",51,18433
82,82,5,3,2.52,"Ashley County, Arkansas",60,20838
83,83,5,5,2.23,"Baxter County, Arkansas",156,41053
84,84,5,7,2.75,"Benton County, Arkansas",375,249672
85,85,5,9,2.45,"Boone County, Arkansas",102,37222
86,86,5,11,2.39,"Bradley County, Arkansas",33,11094
87,87,5,13,2.4,"Calhoun County, Arkansas",15,5229
88,88,5,15,2.49,"Carroll County, Arkansas",66,27704
89,89,5,17,2.36,"Chicot County, Arkansas",38,11027
90,90,5,19,2.28,"Clark County, Arkansas",46,22633
91,91,5,21,2.31,"Clay County, Arkansas",54,15109
92,92,5,23,2.5,"Cleburne County, Arkansas",83,25467
93,93,5,25,2.53,"Cleveland County, Arkansas",18,8311
94,94,5,27,2.37,"Columbia County, Arkansas",62,24114
95,95,5,29,2.49,"Conway County, Arkansas",47,21019
96,96,5,31,2.52,"Craighead County, Arkansas",187,104354
97,97,5,33,2.58,"Crawford County, Arkansas",134,61703
98,98,5,35,2.67,"Crittenden County, Arkansas",117,48963
99,99,5,37,2.49,"Cross County, Arkansas",51,17284
100,100,5,39,2.26,"Dallas County, Arkansas",28,7604
101,101,5,41,2.33,"Desha County, Arkansas",31,11965
102,102,5,43,2.43,"Drew County, Arkansas",42,18778
103,103,5,45,2.65,"Faulkner County, Arkansas",173,121552
104,104,5,47,2.58,"Franklin County, Arkansas",48,17702
105,105,5,49,2.27,"Fulton County, Arkansas",35,12204
106,106,5,51,2.35,"Garland County, Arkansas",292,97177
107,107,5,53,2.61,"Grant County, Arkansas",39,18102
108,108,5,55,2.56,"Greene County, Arkansas",94,44196
109,109,5,57,2.81,"Hempstead County, Arkansas",50,22084
110,110,5,59,2.59,"Hot Spring County, Arkansas",83,33426
111,111,5,61,2.65,"Howard County, Arkansas",37,13300
112,112,5,63,2.52,"Independence County, Arkansas",77,37052
113,113,5,65,2.28,"Izard County, Arkansas",42,13445
114,114,5,67,2.25,"Jackson County, Arkansas",52,17338
115,115,5,69,2.41,"Jefferson County, Arkansas",175,71565
116,116,5,71,2.5,"Johnson County, Arkansas",52,26141
117,117,5,73,2.52,"Lafayette County, Arkansas",22,6996
118,118,5,75,2.45,"Lawrence County, Arkansas",51,16779
119,119,5,77,2.34,"Lee County, Arkansas",29,9650
120,120,5,79,2.43,"Lincoln County, Arkansas",29,13820
121,121,5,81,2.39,"Little River County, Arkansas",36,12472
122,122,5,83,2.48,"Logan County, Arkansas",66,21714
123,123,5,85,2.7,"Lonoke County, Arkansas",135,71645
124,124,5,87,2.46,"Madison County, Arkansas",39,15767
125,125,5,89,2.43,"Marion County, Arkansas",61,16185
126,126,5,91,2.5,"Miller County, Arkansas",104,43908
127,127,5,93,2.57,"Mississippi County, Arkansas",112,43738
128,128,5,95,2.27,"Monroe County, Arkansas",28,7399
129,129,5,97,2.33,"Montgomery County, Arkansas",24,8970
130,130,5,99,2.48,"Nevada County, Arkansas",25,8558
131,131,5,101,2.42,"Newton County, Arkansas",24,7913
132,132,5,103,2.34,"Ouachita County, Arkansas",69,24358
133,133,5,105,2.62,"Perry County, Arkansas",29,10189
134,134,5,107,2.48,"Phillips County, Arkansas",62,19513
135,135,5,109,2.5,"Pike County, Arkansas",27,10824
136,136,5,111,2.57,"Poinsett County, Arkansas",76,24040
137,137,5,113,2.56,"Polk County, Arkansas",57,20216
138,138,5,115,2.62,"Pope County, Arkansas",138,63390
139,139,5,117,2.16,"Prairie County, Arkansas",25,8291
140,140,5,119,2.49,"Pulaski County, Arkansas",739,392664
141,141,5,121,2.36,"Randolph County, Arkansas",54,17469
142,142,5,123,2.51,"St. Francis County, Arkansas",59,26589
143,143,5,125,2.66,"Saline County, Arkansas",218,117460
144,144,5,127,2.66,"Scott County, Arkansas",30,10513
145,145,5,129,2.48,"Searcy County, Arkansas",29,7869
146,146,5,131,2.53,"Sebastian County, Arkansas",258,127780
147,147,5,133,2.81,"Sevier County, Arkansas",31,17290
148,148,5,135,2.37,"Sharp County, Arkansas",56,16912
149,149,5,137,2.4,"Stone County, Arkansas",36,12456
150,150,5,139,2.43,"Union County, Arkansas",116,40144
151,151,5,141,2.44,"Van Buren County, Arkansas",51,16771
152,152,5,143,2.55,"Washington County, Arkansas",303,225477
153,153,5,145,2.55,"White County, Arkansas",174,79161
154,154,5,147,2.36,"Woodruff County, Arkansas",22,6741
155,155,5,149,2.8,"Yell County, Arkansas",56,21713
156,156,4,1,3.67,"Apache County, Arizona",95,71474
157,157,4,3,2.42,"Cochise County, Arizona",267,126427
158,158,4,5,2.7,"Coconino County, Arizona",130,139097
159,159,4,7,2.5,"Gila County, Arizona",147,53159
160,160,4,9,3.02,"Graham County, Arizona",60,37666
161,161,4,11,2.78,"Greenlee County, Arizona",14,9529
162,162,4,12,2.14,"La Paz County, Arizona",54,20152
163,163,4,13,2.75,"Maricopa County, Arizona",5780,4167947
164,164,4,15,2.43,"Mohave County, Arizona",672,204737
165,165,4,17,3.08,"Navajo County, Arizona",167,108277
166,166,4,19,2.49,"Pima County, Arizona",1916,1010025
167,167,4,21,2.87,"Pinal County, Arizona",558,406584
168,168,4,23,3.04,"Santa Cruz County, Arizona",68,46461
169,169,4,25,2.3,"Yavapai County, Arizona",595,222255
170,170,4,27,2.77,"Yuma County, Arizona",291,204275
171,171,6,1,2.78,"Alameda County, California",2236,1638215
172,172,6,5,2.36,"Amador County, California",105,37001
173,173,6,7,2.55,"Butte County, California",500,225411
174,174,6,9,2.45,"Calaveras County, California",116,44828
175,175,6,11,3.04,"Colusa County, California",32,21482
176,176,6,13,2.82,"Contra Costa County, California",1744,1126745
177,177,6,15,2.55,"Del Norte County, California",60,27254
178,178,6,17,2.69,"El Dorado County, California",342,184452
179,179,6,19,3.17,"Fresno County, California",1260,974861
180,180,6,21,2.92,"Glenn County, California",51,28017
181,181,6,23,2.47,"Humboldt County, California",273,135727
182,182,6,25,3.61,"Imperial County, California",207,180191
183,183,6,27,2.23,"Inyo County, California",40,18260
184,184,6,29,3.21,"Kern County, California",1078,882176
185,185,6,31,3.19,"Kings County, California",163,150965
186,186,6,33,2.34,"Lake County, California",176,64591
187,187,6,35,2.24,"Lassen County, California",54,31345
188,188,6,37,3.02,"Los Angeles County, California",14010,10170292
189,189,6,39,3.35,"Madera County, California",212,154998
190,190,6,41,2.41,"Marin County, California",483,261221
191,191,6,43,2.29,"Mariposa County, California",43,17531
192,192,6,45,2.51,"Mendocino County, California",197,87649
193,193,6,47,3.32,"Merced County, California",343,268455
194,194,6,49,2.32,"Modoc County, California",24,8965
195,195,6,51,2.82,"Mono County, California",13,13909
196,196,6,53,3.26,"Monterey County, California",551,433898
197,197,6,55,2.74,"Napa County, California",298,142456
198,198,6,57,2.38,"Nevada County, California",227,98877
199,199,6,59,3.04,"Orange County, California",4410,3169776
200,200,6,61,2.67,"Placer County, California",686,375391
201,201,6,63,2.26,"Plumas County, California",53,18409
202,202,6,65,3.24,"Riverside County, California",3377,2361026
203,203,6,67,2.76,"Sacramento County, California",2389,1501335
204,204,6,69,3.33,"San Benito County, California",75,58792
205,205,6,71,3.33,"San Bernardino County, California",2778,2128133
206,206,6,73,2.86,"San Diego County, California",4895,3299521
207,207,6,75,2.32,"San Francisco County, California",1387,864816
208,208,6,77,3.16,"San Joaquin County, California",1065,726106
209,209,6,79,2.51,"San Luis Obispo County, California",520,281401
210,210,6,81,2.85,"San Mateo County, California",1186,765135
211,211,6,83,2.92,"Santa Barbara County, California",664,444769
212,212,6,85,2.95,"Santa Clara County, California",2355,1918044
213,213,6,87,2.72,"Santa Cruz County, California",396,274146
214,214,6,89,2.54,"Shasta County, California",465,179533
215,215,6,91,2.38,"Sierra County, California",9,2967
216,216,6,93,2.26,"Siskiyou County, California",133,43554
217,217,6,95,2.89,"Solano County, California",744,436092
218,218,6,97,2.59,"Sonoma County, California",962,502146
219,219,6,99,3.08,"Stanislaus County, California",793,538388
220,220,6,101,2.95,"Sutter County, California",155,96463
221,221,6,103,2.63,"Tehama County, California",139,63308
222,222,6,105,2.38,"Trinity County, California",41,13069
223,223,6,107,3.36,"Tulare County, California",564,459863
224,224,6,109,2.28,"Tuolumne County, California",142,53709
225,225,6,111,3.08,"Ventura County, California",1234,850536
226,226,6,113,2.77,"Yolo County, California",282,213016
227,227,6,115,2.87,"Yuba County, California",116,74492
228,228,8,1,2.98,"Adams County, Colorado",557,491337
229,229,8,3,2.56,"Alamosa County, Colorado",24,16496
230,230,8,5,2.63,"Arapahoe County, Colorado",753,631096
231,231,8,7,2.25,"Archuleta County, Colorado",17,12352
232,232,8,9,2.3,"Baca County, Colorado",13,3615
233,233,8,11,2.19,"Bent County, Colorado",13,5830
234,234,8,13,2.45,"Boulder County, Colorado",340,319372
235,235,8,14,2.57,"Broomfield County, Colorado",80,65065
236,236,8,15,2.21,"Chaffee County, Colorado",39,18658
237,237,8,17,2.63,"Cheyenne County, Colorado",4,1829
238,238,8,19,2.13,"Clear Creek County, Colorado",15,9303
239,239,8,21,2.78,"Conejos County, Colorado",14,8130
240,240,8,23,2.46,"Costilla County, Colorado",7,3584
241,241,8,25,3.78,"Crowley County, Colorado",7,5562
242,242,8,27,2.15,"Custer County, Colorado",11,4445
243,243,8,29,2.41,"Delta County, Colorado",78,29979
244,244,8,31,2.3,"Denver County, Colorado",909,682545
245,245,8,33,2.64,"Dolores County, Colorado",4,1978
246,246,8,35,2.76,"Douglas County, Colorado",259,322387
247,247,8,37,2.94,"Eagle County, Colorado",26,53605
248,248,8,39,2.82,"Elbert County, Colorado",32,24735
249,249,8,41,2.6,"El Paso County, Colorado",825,674471
250,250,8,43,2.21,"Fremont County, Colorado",110,46692
251,251,8,45,2.72,"Garfield County, Colorado",58,58095
252,252,8,47,2.14,"Gilpin County, Colorado",7,5828
253,253,8,49,2.69,"Grand County, Colorado",16,14615
254,254,8,51,2.34,"Gunnison County, Colorado",12,16067
255,255,8,55,2.08,"Huerfano County, Colorado",21,6492
256,256,8,59,2.44,"Jefferson County, Colorado",846,565524
257,257,8,61,2.45,"Kiowa County, Colorado",5,1423
258,258,8,63,2.35,"Kit Carson County, Colorado",17,7758
259,259,8,65,2.38,"Lake County, Colorado",8,7485
260,260,8,67,2.38,"La Plata County, Colorado",69,54688
261,261,8,69,2.47,"Larimer County, Colorado",419,333577
262,262,8,71,2.36,"Las Animas County, Colorado",35,14058
263,263,8,73,2.24,"Lincoln County, Colorado",11,5557
264,264,8,75,2.61,"Logan County, Colorado",42,22036
265,265,8,77,2.43,"Mesa County, Colorado",281,148513
266,266,8,81,2.6,"Moffat County, Colorado",21,12937
267,267,8,83,2.44,"Montezuma County, Colorado",54,26168
268,268,8,85,2.4,"Montrose County, Colorado",87,40946
269,269,8,87,2.67,"Morgan County, Colorado",53,28360
270,270,8,89,2.42,"Otero County, Colorado",41,18343
271,271,8,91,2.31,"Ouray County, Colorado",7,4691
272,272,8,93,2.2,"Park County, Colorado",23,16510
273,273,8,95,2.52,"Phillips County, Colorado",10,4349
274,274,8,97,2.28,"Pitkin County, Colorado",12,17787
275,275,8,99,2.44,"Prowers County, Colorado",29,11954
276,276,8,101,2.49,"Pueblo County, Colorado",322,163591
277,277,8,103,2.48,"Rio Blanco County, Colorado",11,6571
278,278,8,105,2.49,"Rio Grande County, Colorado",21,11543
279,279,8,107,2.46,"Routt County, Colorado",23,24130
280,280,8,109,2.39,"Saguache County, Colorado",10,6251
281,281,8,113,2.31,"San Miguel County, Colorado",5,7879
282,282,8,115,2.44,"Sedgwick County, Colorado",6,2399
283,283,8,117,2.82,"Summit County, Colorado",15,30257
284,284,8,119,2.42,"Teller County, Colorado",38,23385
285,285,8,121,2.3,"Washington County, Colorado",9,4864
286,286,8,123,2.8,"Weld County, Colorado",329,285174
287,287,8,125,2.6,"Yuma County, Colorado",24,10146
288,288,9,1,2.76,"Fairfield County, Connecticut",1524,948053
289,289,9,3,2.51,"Hartford County, Connecticut",1741,895841
290,290,9,5,2.46,"Litchfield County, Connecticut",389,183603
291,291,9,7,2.4,"Middlesex County, Connecticut",339,164063
292,292,9,9,2.56,"New Haven County, Connecticut",1788,859470
293,293,9,11,2.45,"New London County, Connecticut",534,271863
294,294,9,13,2.49,"Tolland County, Connecticut",239,151420
295,295,9,15,2.53,"Windham County, Connecticut",229,116573
296,296,11,1,2.22,"District of Columbia, District of Columbia",1084,672228
297,297,10,1,2.71,"Kent County, Delaware",347,173533
298,298,10,3,2.63,"New Castle County, Delaware",1022,556779
299,299,10,5,2.52,"Sussex County, Delaware",525,215622
300,300,12,1,2.46,"Alachua County, Florida",426,259964
301,301,12,3,3.0,"Baker County, Florida",56,27420
302,302,12,5,2.54,"Bay County, Florida",395,181635
303,303,12,7,2.72,"Bradford County, Florida",72,26928
304,304,12,9,2.46,"Brevard County, Florida",1571,568088
305,305,12,11,2.73,"Broward County, Florida",3397,1896425
306,306,12,13,2.64,"Calhoun County, Florida",32,14462
307,307,12,15,2.26,"Charlotte County, Florida",561,173115
308,308,12,17,2.25,"Citrus County, Florida",557,141058
309,309,12,19,2.84,"Clay County, Florida",357,203967
310,310,12,21,2.59,"Collier County, Florida",756,357305
311,311,12,23,2.66,"Columbia County, Florida",170,68348
312,312,12,27,2.78,"DeSoto County, Florida",73,35458
313,313,12,29,2.41,"Dixie County, Florida",48,16203
314,314,12,31,2.58,"Duval County, Florida",1638,913010
315,315,12,33,2.53,"Escambia County, Florida",662,311003
316,316,12,35,2.71,"Flagler County, Florida",300,105392
317,317,12,37,2.24,"Franklin County, Florida",34,11761
318,318,12,39,2.53,"Gadsden County, Florida",101,46036
319,319,12,41,2.54,"Gilchrist County, Florida",48,17199
320,320,12,43,3.04,"Glades County, Florida",28,13670
321,321,12,45,2.52,"Gulf County, Florida",39,15871
322,322,12,47,2.35,"Hamilton County, Florida",32,14295
323,323,12,49,3.33,"Hardee County, Florida",47,27502
324,324,12,51,3.18,"Hendry County, Florida",60,39119
325,325,12,53,2.45,"Hernando County, Florida",567,178439
326,326,12,55,2.39,"Highlands County, Florida",335,99491
327,327,12,57,2.64,"Hillsborough County, Florida",2154,1349050
328,328,12,59,2.6,"Holmes County, Florida",50,19324
329,329,12,61,2.44,"Indian River County, Florida",472,147919
330,330,12,65,2.17,"Jefferson County, Florida",35,14081
331,331,12,67,2.81,"Lafayette County, Florida",19,8663
332,332,12,69,2.57,"Lake County, Florida",879,325875
333,333,12,71,2.59,"Lee County, Florida",1519,701982
334,334,12,73,2.43,"Leon County, Florida",369,286272
335,335,12,75,2.53,"Levy County, Florida",139,39832
336,336,12,77,2.77,"Liberty County, Florida",17,8331
337,337,12,79,2.52,"Madison County, Florida",41,18408
338,338,12,81,2.52,"Manatee County, Florida",823,363369
339,339,12,83,2.48,"Marion County, Florida",1089,343254
340,340,12,85,2.39,"Martin County, Florida",446,156283
341,341,12,86,3.08,"Miami-Dade County, Florida",4052,2693117
342,342,12,87,2.55,"Monroe County, Florida",181,77482
343,343,12,89,2.66,"Nassau County, Florida",171,78444
344,344,12,91,2.5,"Okaloosa County, Florida",380,198664
345,345,12,93,2.77,"Okeechobee County, Florida",101,39469
346,346,12,95,2.75,"Orange County, Florida",1645,1288126
347,347,12,97,3.23,"Osceola County, Florida",413,323993
348,348,12,99,2.54,"Palm Beach County, Florida",3265,1422789
349,349,12,101,2.53,"Pasco County, Florida",1281,497909
350,350,12,103,2.27,"Pinellas County, Florida",2528,949827
351,351,12,105,2.77,"Polk County, Florida",1386,650092
352,352,12,107,2.57,"Putnam County, Florida",226,72023
353,353,12,109,2.62,"St. Johns County, Florida",381,226640
354,354,12,111,2.64,"St. Lucie County, Florida",692,298563
355,355,12,113,2.65,"Santa Rosa County, Florida",314,167040
356,356,12,115,2.21,"Sarasota County, Florida",1247,405549
357,357,12,117,2.85,"Seminole County, Florida",729,449144
358,358,12,119,2.05,"Sumter County, Florida",358,118891
359,359,12,121,2.69,"Suwannee County, Florida",120,43760
360,360,12,123,2.44,"Taylor County, Florida",57,22493
361,361,12,125,2.58,"Union County, Florida",61,15234
362,362,12,127,2.46,"Volusia County, Florida",1430,517887
363,363,12,129,2.57,"Wakulla County, Florida",63,31535
364,364,12,131,2.45,"Walton County, Florida",124,63508
365,365,12,133,2.66,"Washington County, Florida",64,24687
366,366,13,1,2.63,"Appling County, Georgia",36,18454
367,367,13,3,2.98,"Atkinson County, Georgia",15,8398
368,368,13,5,2.71,"Bacon County, Georgia",24,11299
369,369,13,7,2.55,"Baker County, Georgia",6,3180
370,370,13,9,2.62,"Baldwin County, Georgia",86,45459
371,371,13,11,2.8,"Banks County, Georgia",26,18495
372,372,13,13,3.05,"Barrow County, Georgia",114,75370
373,373,13,17,2.68,"Ben Hill County, Georgia",43,17403
374,374,13,19,2.71,"Berrien County, Georgia",40,18963
375,375,13,21,2.59,"Bibb County, Georgia",333,153721
376,376,13,23,2.71,"Bleckley County, Georgia",25,12243
377,377,13,25,2.79,"Brantley County, Georgia",41,18455
378,378,13,27,2.37,"Brooks County, Georgia",32,15658
379,379,13,29,2.89,"Bryan County, Georgia",54,35137
380,380,13,31,2.54,"Bulloch County, Georgia",101,72651
381,381,13,33,2.81,"Burke County, Georgia",50,22745
382,382,13,35,2.7,"Butts County, Georgia",60,23593
383,383,13,37,2.13,"Calhoun County, Georgia",12,6479
384,384,13,39,2.68,"Camden County, Georgia",73,52102
385,385,13,43,2.75,"Candler County, Georgia",23,10886
386,386,13,45,2.72,"Carroll County, Georgia",199,114545
387,387,13,47,2.71,"Catoosa County, Georgia",116,66050
388,388,13,49,3.32,"Charlton County, Georgia",22,12965
389,389,13,51,2.55,"Chatham County, Georgia",473,286956
390,390,13,53,3.24,"Chattahoochee County, Georgia",9,11368
391,391,13,55,2.49,"Chattooga County, Georgia",62,24922
392,392,13,59,2.55,"Clarke County, Georgia",141,123912
393,393,13,61,2.57,"Clay County, Georgia",7,3141
394,394,13,63,2.97,"Clayton County, Georgia",291,273955
395,395,13,65,2.49,"Clinch County, Georgia",13,6893
396,396,13,67,2.64,"Cobb County, Georgia",853,741334
397,397,13,69,2.73,"Coffee County, Georgia",78,43108
398,398,13,71,2.86,"Colquitt County, Georgia",89,45844
399,399,13,73,2.98,"Columbia County, Georgia",181,144052
400,400,13,75,2.74,"Cook County, Georgia",35,17124
401,401,13,77,2.73,"Coweta County, Georgia",199,138427
402,402,13,79,2.72,"Crawford County, Georgia",28,12388
403,403,13,81,2.64,"Crisp County, Georgia",47,22881
404,404,13,83,2.47,"Dade County, Georgia",47,16264
405,405,13,85,2.74,"Dawson County, Georgia",45,23312
406,406,13,87,2.46,"Decatur County, Georgia",64,27174
407,407,13,89,2.63,"DeKalb County, Georgia",914,734871
408,408,13,91,2.35,"Dodge County, Georgia",47,20882
409,409,13,93,2.52,"Dooly County, Georgia",21,14035
410,410,13,95,2.52,"Dougherty County, Georgia",187,91332
411,411,13,97,2.87,"Douglas County, Georgia",185,140733
412,412,13,99,2.62,"Early County, Georgia",28,10575
413,413,13,101,2.86,"Echols County, Georgia",5,4040
414,414,13,103,2.95,"Effingham County, Georgia",87,57106
415,415,13,105,2.49,"Elbert County, Georgia",47,19364
416,416,13,107,2.68,"Emanuel County, Georgia",52,22708
417,417,13,109,2.6,"Evans County, Georgia",24,10787
418,418,13,111,2.48,"Fannin County, Georgia",71,24303
419,419,13,113,2.8,"Fayette County, Georgia",168,110714
420,420,13,117,3.14,"Forsyth County, Georgia",187,212438
421,421,13,119,2.54,"Franklin County, Georgia",58,22311
422,422,13,121,2.5,"Fulton County, Georgia",1311,1010562
423,423,13,123,2.58,"Gilmer County, Georgia",51,29400
424,424,13,125,2.67,"Glascock County, Georgia",9,3065
425,425,13,127,2.49,"Glynn County, Georgia",168,83579
426,426,13,129,2.83,"Gordon County, Georgia",105,56574
427,427,13,131,2.7,"Grady County, Georgia",58,25205
428,428,13,133,2.4,"Greene County, Georgia",43,16710
429,429,13,135,3.12,"Gwinnett County, Georgia",808,895823
430,430,13,137,2.74,"Habersham County, Georgia",94,43996
431,431,13,139,3.0,"Hall County, Georgia",270,193535
432,432,13,141,2.49,"Hancock County, Georgia",20,8551
433,433,13,143,2.63,"Haralson County, Georgia",69,28854
434,434,13,145,2.79,"Harris County, Georgia",51,33381
435,435,13,147,2.48,"Hart County, Georgia",61,25534
436,436,13,149,2.65,"Heard County, Georgia",24,11539
437,437,13,151,3.0,"Henry County, Georgia",280,217739
438,438,13,153,2.72,"Houston County, Georgia",225,150033
439,439,13,155,2.71,"Irwin County, Georgia",23,9245
440,440,13,157,2.88,"Jackson County, Georgia",124,63360
441,441,13,159,2.61,"Jasper County, Georgia",25,13635
442,442,13,161,2.75,"Jeff Davis County, Georgia",29,14920
443,443,13,163,2.61,"Jefferson County, Georgia",44,16106
444,444,13,165,2.53,"Jenkins County, Georgia",22,8957
445,445,13,167,2.8,"Johnson County, Georgia",20,9656
446,446,13,169,2.76,"Jones County, Georgia",50,28494
447,447,13,171,2.62,"Lamar County, Georgia",42,18201
448,448,13,173,2.72,"Lanier County, Georgia",20,10312
449,449,13,175,2.65,"Laurens County, Georgia",98,47731
450,450,13,177,2.76,"Lee County, Georgia",44,29202
451,451,13,179,2.72,"Liberty County, Georgia",65,62467
452,452,13,181,2.23,"Lincoln County, Georgia",21,7673
453,453,13,183,3.27,"Long County, Georgia",20,17731
454,454,13,185,2.78,"Lowndes County, Georgia",167,112865
455,455,13,187,2.66,"Lumpkin County, Georgia",50,31408
456,456,13,189,2.61,"McDuffie County, Georgia",53,21540
457,457,13,191,2.63,"McIntosh County, Georgia",28,13969
458,458,13,193,2.62,"Macon County, Georgia",34,13632
459,459,13,195,2.75,"Madison County, Georgia",71,28441
460,460,13,197,2.83,"Marion County, Georgia",17,8761
461,461,13,199,2.65,"Meriwether County, Georgia",49,21190
462,462,13,201,2.42,"Miller County, Georgia",17,5854
463,463,13,205,2.55,"Mitchell County, Georgia",46,22574
464,464,13,207,2.68,"Monroe County, Georgia",45,27103
465,465,13,209,2.62,"Montgomery County, Georgia",15,8951
466,466,13,211,2.76,"Morgan County, Georgia",39,18046
467,467,13,213,2.75,"Murray County, Georgia",77,39565
468,468,13,215,2.61,"Muscogee County, Georgia",362,200579
469,469,13,217,2.92,"Newton County, Georgia",161,105473
470,470,13,219,2.88,"Oconee County, Georgia",45,35965
471,471,13,221,2.63,"Oglethorpe County, Georgia",27,14871
472,472,13,223,2.99,"Paulding County, Georgia",173,152238
473,473,13,225,2.5,"Peach County, Georgia",60,26720
474,474,13,227,2.61,"Pickens County, Georgia",68,30309
475,475,13,229,2.72,"Pierce County, Georgia",48,19103
476,476,13,231,2.92,"Pike County, Georgia",41,17941
